ENSMUST00000173881.7	Il1rl1
ENSMUST00000097772.9	Il1rl1
ENSMUST00000173514.7	Il1rl1
ENSMUST00000053043.7	Il1rl1
ENSMUST00000167723.7	Il18r1
ENSMUST00000193391.5	Il18r1
ENSMUST00000193793.5	Il18r1
ENSMUST00000087983.7	Il18r1
ENSMUST00000195684.5	Il18r1
ENSMUST00000108044.3	Il18r1
ENSMUST00000027237.11	Il18rap
ENSMUST00000027233.8	Slc9a4
ENSMUST00000027231.12	Slc9a2
ENSMUST00000192345.1	Slc9a2
ENSMUST00000039672.5	Mfsd9
ENSMUST00000131390.7	Mfsd9
ENSMUST00000114765.3	Tmem182
ENSMUST00000239323.1	Pou3f3
ENSMUST00000054883.3	Pou3f3
ENSMUST00000057208.12	Mrps9
ENSMUST00000201108.3	Mrps9
ENSMUST00000179766.2	Gpr45
ENSMUST00000114761.1	Gpr45
ENSMUST00000095014.7	Tgfbrap1
ENSMUST00000186694.6	Tgfbrap1
ENSMUST00000188728.1	Tgfbrap1
ENSMUST00000190427.6	Tgfbrap1
ENSMUST00000189010.1	Tgfbrap1
ENSMUST00000010434.7	AI597479
ENSMUST00000008280.13	Fhl2
ENSMUST00000185893.1	Fhl2
ENSMUST00000187357.1	Fhl2
ENSMUST00000187435.6	Nck2
ENSMUST00000086421.8	Nck2
ENSMUST00000202540.1	Nck2
ENSMUST00000114744.2	Nck2
ENSMUST00000027217.8	Ecrg4
ENSMUST00000126008.7	Uxs1
ENSMUST00000076997.12	Uxs1
ENSMUST00000139451.7	Uxs1
ENSMUST00000153317.5	Uxs1
ENSMUST00000136704.1	Uxs1
ENSMUST00000128261.1	Uxs1
ENSMUST00000087933.9	Tpp2
ENSMUST00000188313.6	Tpp2
ENSMUST00000188302.6	Tpp2
ENSMUST00000189388.6	Tpp2
ENSMUST00000186441.1	Tpp2
ENSMUST00000190207.1	Tpp2
ENSMUST00000061421.3	Mettl21c
ENSMUST00000238662.1	Gm8251
ENSMUST00000168641.1	Gm8251
ENSMUST00000027215.11	Tex30
ENSMUST00000156392.7	Tex30
ENSMUST00000128190.7	Tex30
ENSMUST00000147571.7	Tex30
ENSMUST00000133677.7	Tex30
ENSMUST00000150911.7	Tex30
ENSMUST00000152239.7	Tex30
ENSMUST00000129702.1	Tex30
ENSMUST00000147661.7	Tex30
ENSMUST00000127923.7	Tex30
ENSMUST00000143327.1	Tex30
ENSMUST00000149502.7	Tex30
ENSMUST00000125540.1	Tex30
ENSMUST00000065767.8	Poglut2
ENSMUST00000027213.13	Poglut2
ENSMUST00000152643.1	Poglut2
ENSMUST00000155917.7	Bivm
ENSMUST00000035991.7	Bivm
ENSMUST00000114709.2	Bivm
ENSMUST00000129068.1	Bivm
ENSMUST00000027214.3	Ercc5
ENSMUST00000054801.3	Mettl21e
ENSMUST00000074525.9	Gulp1
ENSMUST00000160854.7	Gulp1
ENSMUST00000159555.7	Gulp1
ENSMUST00000161066.7	Gulp1
ENSMUST00000162600.1	Gulp1
ENSMUST00000087883.12	Col3a1
ENSMUST00000185687.1	Col3a1
ENSMUST00000186021.1	Col3a1
ENSMUST00000086430.4	Col5a2
ENSMUST00000027139.14	Wdr75
ENSMUST00000147308.1	Wdr75
ENSMUST00000186651.1	Wdr75
ENSMUST00000183590.1	Gm5269
ENSMUST00000027137.10	Slc40a1
ENSMUST00000187420.6	Slc40a1
ENSMUST00000187406.6	Slc40a1
ENSMUST00000186804.1	Slc40a1
ENSMUST00000069293.9	Dnah7b
ENSMUST00000238212.1	Dnah7b
ENSMUST00000185879.1	Dnah7b
ENSMUST00000189749.6	Dnah7c
ENSMUST00000178395.1	Dnah7c
ENSMUST00000027131.5	Slc39a10
ENSMUST00000186852.1	Slc39a10
ENSMUST00000185520.1	Slc39a10
ENSMUST00000114565.7	Tmeff2
ENSMUST00000081851.3	Tmeff2
ENSMUST00000051572.7	Cavin2
ENSMUST00000189542.6	Nabp1
ENSMUST00000186003.6	Nabp1
ENSMUST00000190103.6	Nabp1
ENSMUST00000027279.11	Nabp1
ENSMUST00000186684.6	Nabp1
ENSMUST00000188204.6	Nabp1
ENSMUST00000188051.6	Nabp1
ENSMUST00000185534.1	Nabp1
ENSMUST00000046390.13	Myo1b
ENSMUST00000114537.8	Myo1b
ENSMUST00000114541.7	Myo1b
ENSMUST00000018561.13	Myo1b
ENSMUST00000144694.1	Myo1b
ENSMUST00000168302.7	Stat4
ENSMUST00000027277.6	Stat4
ENSMUST00000186574.6	Stat1
ENSMUST00000070968.13	Stat1
ENSMUST00000191435.6	Stat1
ENSMUST00000186857.6	Stat1
ENSMUST00000188681.6	Stat1
ENSMUST00000189347.6	Stat1
ENSMUST00000186057.6	Stat1
ENSMUST00000189244.6	Stat1
